tanggal,pelabuhan,kapal_berangkat,kapal_tiba,penumpang_naik,penumpang_turun
1/1/2018,P. MUARA ANGKE,12,32,1370,7783
1/2/2018,P. MUARA ANGKE,15,14,841,2303
1/3/2018,P. MUARA ANGKE,13,6,1013,981
1/4/2018,P. MUARA ANGKE,7,10,811,1092
1/5/2018,P. MUARA ANGKE,12,13,1017,763
1/1/2018,MARINA/ANCOL,12,1,561,15
1/2/2018,MARINA/ANCOL,4,6,362,409
1/3/2018,MARINA/ANCOL,3,4,282,2890
1/4/2018,MARINA/ANCOL,3,4,256,294
1/5/2018,MARINA/ANCOL,6,6,479,265
1/1/2018,UNTUNG/JAWA,7,19,686,787
1/2/2018,UNTUNG/JAWA,5,7,222,208
1/3/2018,UNTUNG/JAWA,7,7,246,209
1/4/2018,UNTUNG/JAWA,8,8,365,343
1/5/2018,UNTUNG/JAWA,6,6,239,272
1/1/2018,LANCANG,4,4,50,67
1/2/2018,LANCANG,4,4,81,74
1/3/2018,LANCANG,4,4,23,45
1/4/2018,LANCANG,4,4,80,86
1/5/2018,LANCANG,4,4,87,87
1/1/2018,PARI,3,28,253,2705
1/2/2018,PARI,12,15,2364,1951
1/3/2018,PARI,5,5,379,317
1/4/2018,PARI,6,6,380,347
1/5/2018,PARI,6,9,295,483
1/1/2018,TIDUNG/PAYUNG,1,12,65,3508
1/2/2018,TIDUNG/PAYUNG,9,5,1399,275
1/3/2018,TIDUNG/PAYUNG,8,3,1460,247
1/4/2018,TIDUNG/PAYUNG,6,2,419,210
1/5/2018,TIDUNG/PAYUNG,3,3,314,445
1/1/2018,PRAMUKA/PANGGANG,1,2,65,150
1/2/2018,PRAMUKA/PANGGANG,2,2,196,228
1/3/2018,PRAMUKA/PANGGANG,2,4,319,268
1/4/2018,PRAMUKA/PANGGANG,4,2,300,147
1/5/2018,PRAMUKA/PANGGANG,3,3,214,276
1/1/2018,KELAPA,3,2,90,189
1/2/2018,KELAPA,2,2,121,81
1/3/2018,KELAPA,5,5,143,181
1/4/2018,KELAPA,5,5,194,176
1/5/2018,KELAPA,3,3,85,107
1/1/2018,HARAPAN,4,12,64,2613
1/2/2018,HARAPAN,9,5,1608,1198
1/3/2018,HARAPAN,1,3,10,127
1/4/2018,HARAPAN,2,2,152,98
1/5/2018,HARAPAN,4,2,153,114
